segmnet_id,wkt,time,avg_speed
23333176,"LINESTRING(20.897156 52.244537,20.896942 52.2445,20.896498 52.244415,20.896378 52.24439,20.895973 52.24431,20.89569 52.244247,20.895351 52.24417,20.895048 52.244095,20.894794 52.244026,20.893927 52.243774)",2024-11-10 08:30:00.000000,45
21716559,"LINESTRING(20.994385 52.298435,20.995285 52.29759,20.99583 52.297047)",2024-11-10 08:30:00.000000,40
26154114,"LINESTRING(21.061352 52.30658,21.061445 52.306576,21.061518 52.306564,21.061571 52.306538,21.061623 52.306507,21.06165 52.30648,21.061668 52.30645,21.061674 52.30643,21.061676 52.30635,21.061674 52.30625,21.061668 52.306164,21.061651 52.30607,21.061634 52.305992,21.061611 52.30592,21.061577 52.305843,21.061543 52.305767,21.061497 52.305683,21.061445 52.305603,21.061394 52.305523,21.061337 52.305454,21.06128 52.30539,21.06121 52.305325,21.06117 52.305286,21.061123 52.305252,21.06107 52.30522,21.06102 52.305202,21.060966 52.30519,21.060904 52.305183,21.060833 52.30518,21.060776 52.30518,21.060722 52.305183,21.060694 52.305183,21.060663 52.305187,21.060633 52.30519,21.06061 52.3052,21.060589 52.305202,21.060574 52.30521,21.060558 52.30522)",2024-11-10 08:30:00.000000,23
22201999,"LINESTRING(20.948374 52.257126,20.949179 52.257957)",2024-11-10 08:30:00.000000,49
22646202,"LINESTRING(21.003414 52.28998,21.003166 52.29022,21.002787 52.29058)",2024-11-10 08:30:00.000000,32
24995166,"LINESTRING(21.079777 52.30769,21.078756 52.30769,21.07757 52.30769,21.07596 52.307693,21.075382 52.307693,21.074806 52.307693,21.07448 52.30769,21.074072 52.307674,21.073656 52.307644,21.073286 52.30762,21.072927 52.307606,21.0727 52.307606,21.07187 52.307602,21.069141 52.30761)",2024-11-10 08:30:00.000000,40
21717645,"LINESTRING(20.99583 52.297047,20.996033 52.296856)",2024-11-10 08:30:00.000000,52
8558709,"LINESTRING(20.955393 52.264053,20.957262 52.26579,20.958876 52.26726)",2024-11-10 08:45:00.000000,49
21698145,"LINESTRING(21.03293 52.2997,21.036156 52.30052,21.038044 52.30099)",2024-11-10 08:45:00.000000,51
20525886,"LINESTRING(20.964928 52.274445,20.964724 52.274597,20.9645 52.274776,20.964296 52.274952)",2024-11-10 08:45:00.000000,32
