segmnet_id,wkt,time,avg_speed
21087995,"LINESTRING(20.994812 52.275753,20.994429 52.276516)",2024-11-29 04:00:00.000000,47
21087869,"LINESTRING(20.995693 52.27397,20.994812 52.275753)",2024-11-29 04:00:00.000000,46
25588377,"LINESTRING(21.031017 52.300743,21.030834 52.300697,21.030739 52.300674,21.029856 52.30045)",2024-11-29 04:00:00.000000,19
25384087,"LINESTRING(20.864294 52.216106,20.86475 52.216137,20.864862 52.21614)",2024-11-29 04:00:00.000000,6
22679151,"LINESTRING(21.00259 52.290134,21.003462 52.290413,21.004076 52.29061)",2024-11-29 04:00:00.000000,44
16883726,"LINESTRING(20.986664 52.283222,20.988276 52.28396)",2024-11-29 04:00:00.000000,44
9365274,"LINESTRING(21.008493 52.284397,21.00807 52.285133)",2024-11-29 04:00:00.000000,42
24925491,"LINESTRING(20.998755 52.288837,20.99888 52.288895)",2024-11-29 04:00:00.000000,48
24925489,"LINESTRING(20.9982 52.28871,20.998074 52.28866)",2024-11-29 04:00:00.000000,80
9687980,"LINESTRING(20.899847 52.242306,20.898596 52.242393,20.89841 52.242405)",2024-11-29 04:00:00.000000,14
24092764,"LINESTRING(20.897165 52.24312,20.897224 52.24341,20.897253 52.243538,20.897282 52.243652)",2024-11-29 04:00:00.000000,33
24317467,"LINESTRING(20.960947 52.259003,20.960785 52.258934)",2024-11-29 04:00:00.000000,13
14690475,"LINESTRING(20.967756 52.272118,20.96764 52.272057,20.967443 52.271988,20.967281 52.271957,20.967125 52.271954,20.966978 52.27197,20.966852 52.271996,20.966732 52.272034,20.966656 52.27207,20.966578 52.272118,20.966515 52.272163,20.966465 52.27222,20.966421 52.27228,20.966387 52.272354,20.966383 52.272434,20.966396 52.272507,20.966417 52.272568,20.966448 52.272636,20.966497 52.272717,20.96662 52.272877)",2024-11-29 04:00:00.000000,26
21036126,"LINESTRING(20.957733 52.26684,20.956833 52.266052)",2024-11-29 04:00:00.000000,38
20905350,"LINESTRING(20.990011 52.285084,20.989786 52.285,20.98961 52.284927,20.98951 52.28489,20.989418 52.284866,20.989351 52.284855,20.989235 52.284843,20.989134 52.284843,20.989054 52.284847,20.988972 52.28486,20.98889 52.28487,20.98881 52.28489,20.988724 52.284916,20.988651 52.284946,20.98857 52.28499,20.988491 52.285038,20.988417 52.285084,20.988277 52.285183,20.988096 52.28531,20.987997 52.285366,20.987902 52.28542,20.987799 52.285477,20.987709 52.28552)",2024-11-29 04:00:00.000000,24
23184503,"LINESTRING(20.961523 52.27526,20.96261 52.27513,20.96263 52.275204,20.962633 52.275215,20.962666 52.27533)",2024-11-29 04:00:00.000000,6
25337270,"LINESTRING(20.984228 52.286945,20.985233 52.286354)",2024-11-29 04:00:00.000000,38
21087643,"LINESTRING(20.997229 52.270973,20.997124 52.271156,20.997038 52.271313)",2024-11-29 04:00:00.000000,43
18672202,"LINESTRING(21.052065 52.310135,21.052063 52.31009,21.052048 52.309822,21.052048 52.30968,21.052048 52.309566)",2024-11-29 04:00:00.000000,26
25539341,"LINESTRING(21.061703 52.308735,21.061678 52.308712,21.061653 52.30869,21.061615 52.308662,21.061579 52.308643,21.06154 52.308624,21.0615 52.30861,21.06146 52.3086,21.06141 52.308594,21.061338 52.30859,21.06128 52.30859)",2024-11-29 04:00:00.000000,15
19263991,"LINESTRING(20.959719 52.261314,20.959639 52.261234,20.958862 52.260475)",2024-11-29 04:00:00.000000,1
25168089,"LINESTRING(20.991362 52.300488,20.991375 52.300526,20.991375 52.30056,20.991358 52.300594,20.991154 52.300785,20.989359 52.302464,20.989237 52.302574,20.98914 52.302624,20.989058 52.30265,20.988953 52.302666,20.98885 52.302673,20.98873 52.302666,20.988619 52.302643,20.98852 52.30261,20.988382 52.30254)",2024-11-29 04:00:00.000000,14
26390292,"LINESTRING(21.092663 52.307785,21.092749 52.307896,21.092775 52.307934,21.092943 52.308155,21.093077 52.308327,21.093307 52.30861,21.094343 52.30984)",2024-11-29 04:00:00.000000,21
22061180,"LINESTRING(21.032322 52.29996,21.032225 52.300056,21.03219 52.30009,21.032166 52.300114,21.031979 52.300293,21.03168 52.30064)",2024-11-29 04:00:00.000000,25
20343800,"LINESTRING(21.024397 52.28659,21.023483 52.28634)",2024-11-29 04:00:00.000000,22
21034246,"LINESTRING(20.958035 52.266106,20.95848 52.266495,20.95886 52.266834)",2024-11-29 04:00:00.000000,42
8793661,"LINESTRING(21.01073 52.280754,21.010063 52.28185,21.009697 52.28247,21.008493 52.284397)",2024-11-29 04:00:00.000000,38
24995166,"LINESTRING(21.079777 52.30769,21.078756 52.30769,21.07757 52.30769,21.07596 52.307693,21.075382 52.307693,21.074806 52.307693,21.07448 52.30769,21.074072 52.307674,21.073656 52.307644,21.073286 52.30762,21.072927 52.307606,21.0727 52.307606,21.07187 52.307602,21.069141 52.30761)",2024-11-29 04:00:00.000000,42
4052302,"LINESTRING(20.94018 52.250557,20.941023 52.25087,20.941813 52.251198,20.942516 52.25153,20.94318 52.25192,20.943752 52.252296,20.944328 52.25273,20.944563 52.252934,20.944805 52.25315,20.945229 52.253586,20.945648 52.254036)",2024-11-29 05:00:00.000000,47
23333176,"LINESTRING(20.897156 52.244537,20.896942 52.2445,20.896498 52.244415,20.896378 52.24439,20.895973 52.24431,20.89569 52.244247,20.895351 52.24417,20.895048 52.244095,20.894794 52.244026,20.893927 52.243774)",2024-11-29 05:00:00.000000,28
20526283,"LINESTRING(20.997263 52.271202,20.997313 52.271263,20.997353 52.271336,20.997358 52.271347,20.997414 52.271553)",2024-11-29 05:00:00.000000,6
21716559,"LINESTRING(20.994385 52.298435,20.995285 52.29759,20.99583 52.297047)",2024-11-29 05:00:00.000000,40
26157754,"LINESTRING(21.033016 52.298527,21.032995 52.298588,21.032917 52.298813,21.032791 52.29918,21.03277 52.29924,21.032757 52.299274,21.032713 52.299404)",2024-11-29 05:00:00.000000,9
22639051,"LINESTRING(20.999626 52.293957,20.99926 52.29431)",2024-11-29 04:00:00.000000,43
14930621,"LINESTRING(21.064707 52.311943,21.064528 52.311848,21.064423 52.311775,21.064291 52.31168,21.064089 52.311546,21.064047 52.31152,21.064013 52.3115,21.063866 52.311413)",2024-11-29 04:00:00.000000,15
7531723,"LINESTRING(20.973759 52.27725,20.973171 52.276947)",2024-11-29 05:00:00.000000,56
22545360,"LINESTRING(20.88554 52.240337,20.885025 52.24038,20.884735 52.2404)",2024-11-29 05:00:00.000000,35
24995166,"LINESTRING(21.079777 52.30769,21.078756 52.30769,21.07757 52.30769,21.07596 52.307693,21.075382 52.307693,21.074806 52.307693,21.07448 52.30769,21.074072 52.307674,21.073656 52.307644,21.073286 52.30762,21.072927 52.307606,21.0727 52.307606,21.07187 52.307602,21.069141 52.30761)",2024-11-29 05:00:00.000000,40
22639051,"LINESTRING(20.999626 52.293957,20.99926 52.29431)",2024-11-29 05:00:00.000000,48
22351324,"LINESTRING(21.025648 52.29749,21.027906 52.298157,21.029402 52.298607,21.029871 52.298744)",2024-11-29 05:00:00.000000,43
21034244,"LINESTRING(20.95457 52.262836,20.955017 52.2633,20.955418 52.26371,20.955717 52.264015,20.956367 52.264637,20.957079 52.265293)",2024-11-29 04:00:00.000000,34
22569116,"LINESTRING(21.014011 52.294937,21.01401 52.294956,21.01401 52.29499,21.014015 52.295025,21.014027 52.295067,21.014042 52.295097,21.014063 52.295128,21.014091 52.295166,21.014124 52.295197,21.014164 52.295227,21.01421 52.295258,21.014261 52.295288,21.014303 52.295307,21.014343 52.295322,21.014393 52.295338,21.014444 52.29535,21.014503 52.29536,21.014565 52.29537,21.014624 52.295372,21.014692 52.295376,21.014744 52.295372,21.014788 52.29537,21.014843 52.29536,21.014889 52.295353,21.014942 52.29534,21.014994 52.295326,21.015041 52.295307,21.015085 52.295288,21.015142 52.295258,21.015194 52.295223,21.01524 52.29519,21.01556 52.294888)",2024-11-29 04:00:00.000000,18
24529121,"LINESTRING(20.956997 52.268497,20.957237 52.26839,20.957453 52.26827,20.957586 52.268196,20.958069 52.26788,20.958326 52.26777,20.958403 52.267742,20.958467 52.267727,20.958649 52.267673)",2024-11-29 05:00:00.000000,20
21711190,"LINESTRING(21.031374 52.29879,21.031624 52.29843)",2024-11-29 05:00:00.000000,0
17088106,"LINESTRING(20.985743 52.28325,20.985495 52.283024,20.985363 52.28293)",2024-11-29 05:00:00.000000,31
22346316,"LINESTRING(21.001305 52.29184,21.00151 52.291634,21.001545 52.2916,21.002401 52.290707)",2024-11-29 05:00:00.000000,42
25253258,"LINESTRING(21.092089 52.306797,21.092142 52.306816,21.092203 52.30681,21.092266 52.306793,21.093699 52.30637,21.09584 52.30573,21.096535 52.305523,21.09669 52.305492,21.096825 52.305485)",2024-11-29 05:00:00.000000,1
24691652,"LINESTRING(21.012354 52.299206,21.0127 52.29872,21.012959 52.29832,21.01318 52.298016)",2024-11-29 05:15:00.000000,35
22679151,"LINESTRING(21.00259 52.290134,21.003462 52.290413,21.004076 52.29061)",2024-11-29 05:15:00.000000,37
7531723,"LINESTRING(20.973759 52.27725,20.973171 52.276947)",2024-11-29 04:00:00.000000,49
22351324,"LINESTRING(21.025648 52.29749,21.027906 52.298157,21.029402 52.298607,21.029871 52.298744)",2024-11-29 04:00:00.000000,34
7439055,"LINESTRING(21.051472 52.304554,21.051254 52.3045)",2024-11-29 04:00:00.000000,47
22346324,"LINESTRING(21.001566 52.291927,21.001514 52.291977,21.00028 52.293137,21.000229 52.293186,21.000128 52.293293)",2024-11-29 04:00:00.000000,35
24812898,"LINESTRING(21.060637 52.310318,21.060549 52.31059,21.060448 52.310894)",2024-11-29 04:00:00.000000,21
2004253,"LINESTRING(20.928356 52.248222,20.923952 52.24766,20.923027 52.247543)",2024-11-29 05:00:00.000000,52
22639057,"LINESTRING(21.002666 52.289715,21.002827 52.28976,21.002995 52.28981,21.003181 52.28987,21.003355 52.28994,21.003504 52.29,21.003607 52.29005,21.003736 52.290123,21.003832 52.29018,21.00391 52.290237,21.00398 52.29029,21.00405 52.290356,21.004099 52.29041,21.004156 52.290478,21.00421 52.29056,21.004244 52.290638,21.004263 52.2907,21.004276 52.29076,21.004284 52.29083,21.004276 52.29091,21.00426 52.290993,21.004232 52.291065,21.004196 52.29113,21.00415 52.2912,21.0041 52.291256,21.004044 52.291317,21.003977 52.291367,21.003887 52.29143,21.0038 52.291477,21.003723 52.291515,21.003628 52.291557,21.003529 52.291595,21.00342 52.291634,21.003273 52.29167,21.0031 52.291718,21.002237 52.291927)",2024-11-29 04:00:00.000000,28
20774547,"LINESTRING(21.054123 52.305412,21.053139 52.305164)",2024-11-29 04:00:00.000000,45
21716561,"LINESTRING(20.994007 52.298798,20.994385 52.298435)",2024-11-29 04:00:00.000000,43
22639057,"LINESTRING(21.002666 52.289715,21.002827 52.28976,21.002995 52.28981,21.003181 52.28987,21.003355 52.28994,21.003504 52.29,21.003607 52.29005,21.003736 52.290123,21.003832 52.29018,21.00391 52.290237,21.00398 52.29029,21.00405 52.290356,21.004099 52.29041,21.004156 52.290478,21.00421 52.29056,21.004244 52.290638,21.004263 52.2907,21.004276 52.29076,21.004284 52.29083,21.004276 52.29091,21.00426 52.290993,21.004232 52.291065,21.004196 52.29113,21.00415 52.2912,21.0041 52.291256,21.004044 52.291317,21.003977 52.291367,21.003887 52.29143,21.0038 52.291477,21.003723 52.291515,21.003628 52.291557,21.003529 52.291595,21.00342 52.291634,21.003273 52.29167,21.0031 52.291718,21.002237 52.291927)",2024-11-29 05:00:00.000000,26
22646202,"LINESTRING(21.003414 52.28998,21.003166 52.29022,21.002787 52.29058)",2024-11-29 05:00:00.000000,40
