segmnet_id,wkt,time,avg_speed
22061180,"LINESTRING(21.032322 52.29996,21.032225 52.300056,21.03219 52.30009,21.032166 52.300114,21.031979 52.300293,21.03168 52.30064)",2024-11-24 06:30:00.000000,23
21698145,"LINESTRING(21.03293 52.2997,21.036156 52.30052,21.038044 52.30099)",2024-11-24 06:45:00.000000,47
19121708,"LINESTRING(20.897982 52.239597,20.897097 52.239708,20.897022 52.23972,20.89697 52.239727,20.896868 52.239742,20.8968 52.239754)",2024-11-24 06:45:00.000000,10
19336077,"LINESTRING(20.887657 52.239475,20.887442 52.239265,20.88724 52.23904,20.886736 52.238472,20.88625 52.23791,20.885942 52.237476)",2024-11-24 07:00:00.000000,33
25337271,"LINESTRING(20.986355 52.28568,20.986675 52.28547,20.987013 52.285244,20.98727 52.285072,20.987457 52.284943,20.98762 52.28483,20.987844 52.284668,20.988092 52.284485,20.988731 52.283993)",2024-11-24 07:00:00.000000,47
14690474,"LINESTRING(20.98486 52.282696,20.983232 52.281967)",2024-11-24 07:00:00.000000,38
21698145,"LINESTRING(21.03293 52.2997,21.036156 52.30052,21.038044 52.30099)",2024-11-24 07:00:00.000000,50
24691652,"LINESTRING(21.012354 52.299206,21.0127 52.29872,21.012959 52.29832,21.01318 52.298016)",2024-11-24 06:45:00.000000,36
7458072,"LINESTRING(20.968794 52.274536,20.96821 52.274197,20.966566 52.27319)",2024-11-24 06:45:00.000000,50
14690474,"LINESTRING(20.98486 52.282696,20.983232 52.281967)",2024-11-24 07:15:00.000000,41
22545376,"LINESTRING(20.886723 52.240246,20.88633 52.24028)",2024-11-24 07:15:00.000000,8
21087869,"LINESTRING(20.995693 52.27397,20.994812 52.275753)",2024-11-24 06:45:00.000000,44
8558709,"LINESTRING(20.955393 52.264053,20.957262 52.26579,20.958876 52.26726)",2024-11-24 06:45:00.000000,48
25337271,"LINESTRING(20.986355 52.28568,20.986675 52.28547,20.987013 52.285244,20.98727 52.285072,20.987457 52.284943,20.98762 52.28483,20.987844 52.284668,20.988092 52.284485,20.988731 52.283993)",2024-11-24 06:45:00.000000,44
14690474,"LINESTRING(20.98486 52.282696,20.983232 52.281967)",2024-11-24 06:45:00.000000,42
25337270,"LINESTRING(20.984228 52.286945,20.985233 52.286354)",2024-11-24 07:00:00.000000,47
19336077,"LINESTRING(20.887657 52.239475,20.887442 52.239265,20.88724 52.23904,20.886736 52.238472,20.88625 52.23791,20.885942 52.237476)",2024-11-24 06:30:00.000000,30
19336080,"LINESTRING(20.885942 52.237476,20.884136 52.235706)",2024-11-24 06:45:00.000000,54
26390292,"LINESTRING(21.092663 52.307785,21.092749 52.307896,21.092775 52.307934,21.092943 52.308155,21.093077 52.308327,21.093307 52.30861,21.094343 52.30984)",2024-11-24 06:45:00.000000,30
19336077,"LINESTRING(20.887657 52.239475,20.887442 52.239265,20.88724 52.23904,20.886736 52.238472,20.88625 52.23791,20.885942 52.237476)",2024-11-24 06:45:00.000000,63
24925453,"LINESTRING(20.86715 52.21934,20.866322 52.218636)",2024-11-24 07:00:00.000000,49
8558709,"LINESTRING(20.955393 52.264053,20.957262 52.26579,20.958876 52.26726)",2024-11-24 07:15:00.000000,50
24925453,"LINESTRING(20.86715 52.21934,20.866322 52.218636)",2024-11-24 07:15:00.000000,62
16890541,"LINESTRING(20.990072 52.284916,20.991451 52.285545,20.992777 52.28616,20.994215 52.286835,20.99666 52.287945,20.997633 52.28836,20.998161 52.288567)",2024-11-24 07:15:00.000000,55
25337270,"LINESTRING(20.984228 52.286945,20.985233 52.286354)",2024-11-24 07:15:00.000000,47
24925453,"LINESTRING(20.86715 52.21934,20.866322 52.218636)",2024-11-24 07:30:00.000000,50
10942867,"LINESTRING(21.010012 52.292973,21.00692 52.29199)",2024-11-24 06:45:00.000000,41
25337218,"LINESTRING(20.987274 52.285255,20.98697 52.285454,20.98671 52.285618,20.986202 52.285923,20.985615 52.286278)",2024-11-24 06:45:00.000000,48
