vehicle_id;timestamp;time;speed;course;lat;lon
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931200;24.04.2024 06:00;61;260;51.93589;15.49806
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931200;24.04.2024 06:00;57;66;51.93511;15.49107
c735867afc8e1dc78ca3bed721690ab6eee4c6346d077ab6ad9a31dd476f24a4;1713931200;24.04.2024 06:00;54;116;51.92539;15.5421
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931210;24.04.2024 06:00;54;62;51.93575;15.4932
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931210;24.04.2024 06:00;46;288;51.93587;15.49595
c735867afc8e1dc78ca3bed721690ab6eee4c6346d077ab6ad9a31dd476f24a4;1713931210;24.04.2024 06:00;18;166;51.92498;15.54269
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931220;24.04.2024 06:00;10;60;51.93613;15.49443
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931220;24.04.2024 06:00;54;338;51.93672;15.49461
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931230;24.04.2024 06:00;57;352;51.93809;15.49414
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931236;24.04.2024 06:00;0;62;51.93617;15.49453
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931240;24.04.2024 06:00;39;358;51.93929;15.49391
51ae04fda1c7a778a860b12bfb85f46419f757d5268671e1a9f008f9585d484b;1713931240;24.04.2024 06:00;3;198;51.93735;15.51091
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931250;24.04.2024 06:00;21;336;51.94013;15.49405
51ae04fda1c7a778a860b12bfb85f46419f757d5268671e1a9f008f9585d484b;1713931250;24.04.2024 06:00;36;238;51.9369;15.50979
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931259;24.04.2024 06:00;3;60;51.93619;15.49458
51ae04fda1c7a778a860b12bfb85f46419f757d5268671e1a9f008f9585d484b;1713931260;24.04.2024 06:01;54;238;51.93617;15.50784
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931269;24.04.2024 06:01;25;336;51.93661;15.49472
51ae04fda1c7a778a860b12bfb85f46419f757d5268671e1a9f008f9585d484b;1713931270;24.04.2024 06:01;21;236;51.93577;15.5066
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931272;24.04.2024 06:01;3;288;51.94024;15.49384
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931279;24.04.2024 06:01;50;346;51.93766;15.49429
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931282;24.04.2024 06:01;43;252;51.93998;15.49284
51ae04fda1c7a778a860b12bfb85f46419f757d5268671e1a9f008f9585d484b;1713931283;24.04.2024 06:01;3;254;51.93575;15.50652
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931289;24.04.2024 06:01;46;350;51.93893;15.49405
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931292;24.04.2024 06:01;43;250;51.93964;15.49119
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931299;24.04.2024 06:01;3;44;51.93965;15.49436
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931302;24.04.2024 06:01;50;266;51.93947;15.48913
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931312;24.04.2024 06:01;21;268;51.93946;15.48754
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931322;24.04.2024 06:02;32;268;51.93946;15.48654
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931329;24.04.2024 06:02;0;44;51.93967;15.49436
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931332;24.04.2024 06:02;54;268;51.93945;15.48468
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931339;24.04.2024 06:02;32;72;51.94;15.4951
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931342;24.04.2024 06:02;50;268;51.93943;15.48255
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931349;24.04.2024 06:02;50;90;51.9401;15.49693
74f6e6bce0e355d40d3bb78981a0b3e8c2a6e7aff5206c720da5df2a18d74a90;1713931352;24.04.2024 06:02;50;264;51.93941;15.48047
3de2d71c455a940dbfb0e993a9786c551eb81482b79d0cf9de331d940aaf7694;1713931359;24.04.2024 06:02;25;100;51.93997;15.49871
