segmnet_id,wkt,time,avg_speed
21717645,"LINESTRING(20.99583 52.297047,20.996033 52.296856)",2024-11-13 12:30:00.000000,37
25793303,"LINESTRING(21.036179 52.30018,21.036228 52.29969,21.036234 52.299644)",2024-11-13 12:30:00.000000,11
22215564,"LINESTRING(20.947792 52.25609,20.947933 52.256203,20.948427 52.256584)",2024-11-13 12:30:00.000000,52
25588377,"LINESTRING(21.031017 52.300743,21.030834 52.300697,21.030739 52.300674,21.029856 52.30045)",2024-11-13 12:30:00.000000,13
22061180,"LINESTRING(21.032322 52.29996,21.032225 52.300056,21.03219 52.30009,21.032166 52.300114,21.031979 52.300293,21.03168 52.30064)",2024-11-13 12:30:00.000000,10
21087808,"LINESTRING(20.988031 52.284237,20.987682 52.284157)",2024-11-13 12:30:00.000000,29
24316630,"LINESTRING(20.96154 52.259087,20.961823 52.259193)",2024-11-13 12:30:00.000000,2
26390292,"LINESTRING(21.092663 52.307785,21.092749 52.307896,21.092775 52.307934,21.092943 52.308155,21.093077 52.308327,21.093307 52.30861,21.094343 52.30984)",2024-11-13 12:45:00.000000,26
20768134,"LINESTRING(20.956886 52.26082,20.957314 52.26066,20.957378 52.26063,20.95784 52.260456,20.958263 52.260284)",2024-11-13 12:45:00.000000,21
22545357,"LINESTRING(20.883837 52.240517,20.883461 52.24057)",2024-11-13 12:45:00.000000,25
24092764,"LINESTRING(20.897165 52.24312,20.897224 52.24341,20.897253 52.243538,20.897282 52.243652)",2024-11-13 12:45:00.000000,21
24316630,"LINESTRING(20.96154 52.259087,20.961823 52.259193)",2024-11-13 12:45:00.000000,26
19121708,"LINESTRING(20.897982 52.239597,20.897097 52.239708,20.897022 52.23972,20.89697 52.239727,20.896868 52.239742,20.8968 52.239754)",2024-11-13 12:45:00.000000,9
24925489,"LINESTRING(20.9982 52.28871,20.998074 52.28866)",2024-11-13 12:45:00.000000,49
21087995,"LINESTRING(20.994812 52.275753,20.994429 52.276516)",2024-11-13 12:30:00.000000,39
21034246,"LINESTRING(20.958035 52.266106,20.95848 52.266495,20.95886 52.266834)",2024-11-13 12:30:00.000000,23
24092764,"LINESTRING(20.897165 52.24312,20.897224 52.24341,20.897253 52.243538,20.897282 52.243652)",2024-11-13 12:30:00.000000,20
22296729,"LINESTRING(20.949356 52.257557,20.9497 52.25814)",2024-11-13 12:30:00.000000,44
26390292,"LINESTRING(21.092663 52.307785,21.092749 52.307896,21.092775 52.307934,21.092943 52.308155,21.093077 52.308327,21.093307 52.30861,21.094343 52.30984)",2024-11-13 12:30:00.000000,27
9687980,"LINESTRING(20.899847 52.242306,20.898596 52.242393,20.89841 52.242405)",2024-11-13 12:45:00.000000,8
21087808,"LINESTRING(20.988031 52.284237,20.987682 52.284157)",2024-11-13 12:45:00.000000,29
24557144,"LINESTRING(20.95978 52.26736,20.960531 52.267185,20.961994 52.26684,20.962093 52.26682,20.962145 52.266808,20.962254 52.26678)",2024-11-13 12:45:00.000000,12
22545376,"LINESTRING(20.886723 52.240246,20.88633 52.24028)",2024-11-13 12:45:00.000000,14
25577821,"LINESTRING(21.031765 52.300934,21.03171 52.30092,21.031528 52.300873,21.031416 52.300842)",2024-11-13 12:30:00.000000,3
25384087,"LINESTRING(20.864294 52.216106,20.86475 52.216137,20.864862 52.21614)",2024-11-13 12:45:00.000000,6
20905350,"LINESTRING(20.990011 52.285084,20.989786 52.285,20.98961 52.284927,20.98951 52.28489,20.989418 52.284866,20.989351 52.284855,20.989235 52.284843,20.989134 52.284843,20.989054 52.284847,20.988972 52.28486,20.98889 52.28487,20.98881 52.28489,20.988724 52.284916,20.988651 52.284946,20.98857 52.28499,20.988491 52.285038,20.988417 52.285084,20.988277 52.285183,20.988096 52.28531,20.987997 52.285366,20.987902 52.28542,20.987799 52.285477,20.987709 52.28552)",2024-11-13 12:45:00.000000,23
25337218,"LINESTRING(20.987274 52.285255,20.98697 52.285454,20.98671 52.285618,20.986202 52.285923,20.985615 52.286278)",2024-11-13 12:45:00.000000,41
22202002,"LINESTRING(20.9472 52.25606,20.947046 52.25589)",2024-11-13 12:30:00.000000,44
12116925,"LINESTRING(21.022247 52.285564,21.022402 52.285355,21.022785 52.284824,21.023397 52.283966)",2024-11-13 12:30:00.000000,32
25384087,"LINESTRING(20.864294 52.216106,20.86475 52.216137,20.864862 52.21614)",2024-11-13 12:30:00.000000,11
24529121,"LINESTRING(20.956997 52.268497,20.957237 52.26839,20.957453 52.26827,20.957586 52.268196,20.958069 52.26788,20.958326 52.26777,20.958403 52.267742,20.958467 52.267727,20.958649 52.267673)",2024-11-13 12:30:00.000000,15
17088110,"LINESTRING(20.98668 52.28297,20.987032 52.282993,20.987192 52.282993,20.98735 52.282986,20.987537 52.282967,20.98773 52.28294,20.987886 52.28291,20.988993 52.28268,20.989147 52.282654,20.98928 52.282646,20.98942 52.282642,20.989536 52.28265,20.989618 52.28266,20.989712 52.28268,20.989792 52.282707,20.989868 52.282738,20.989954 52.282776,20.99002 52.282825,20.990116 52.282906,20.99016 52.28296,20.990198 52.28303,20.990211 52.283077,20.990221 52.283134,20.990211 52.283226,20.99019 52.2833,20.990154 52.28335,20.990086 52.283436,20.990015 52.283512,20.989521 52.28389)",2024-11-13 12:45:00.000000,25
21087995,"LINESTRING(20.994812 52.275753,20.994429 52.276516)",2024-11-13 12:45:00.000000,40
22679151,"LINESTRING(21.00259 52.290134,21.003462 52.290413,21.004076 52.29061)",2024-11-13 12:45:00.000000,38
22214802,"LINESTRING(20.946455 52.254757,20.94657 52.254875,20.946756 52.255077,20.946924 52.255257)",2024-11-13 12:30:00.000000,47
22545357,"LINESTRING(20.883837 52.240517,20.883461 52.24057)",2024-11-13 12:30:00.000000,17
20773713,"LINESTRING(21.06193 52.307087,21.061789 52.307064,21.061043 52.306946)",2024-11-13 12:30:00.000000,25
22666936,"LINESTRING(21.059534 52.30672,21.059425 52.306698,21.05838 52.30648)",2024-11-13 12:30:00.000000,40
24529123,"LINESTRING(20.964184 52.26652,20.962584 52.26697,20.962515 52.26699,20.962284 52.267056)",2024-11-13 12:30:00.000000,10
24691652,"LINESTRING(21.012354 52.299206,21.0127 52.29872,21.012959 52.29832,21.01318 52.298016)",2024-11-13 12:45:00.000000,31
23333177,"LINESTRING(20.897057 52.24402,20.897379 52.24408)",2024-11-13 12:45:00.000000,18
21087869,"LINESTRING(20.995693 52.27397,20.994812 52.275753)",2024-11-13 12:45:00.000000,39
24812898,"LINESTRING(21.060637 52.310318,21.060549 52.31059,21.060448 52.310894)",2024-11-13 12:30:00.000000,21
22350061,"LINESTRING(21.024061 52.29698,21.025238 52.297356,21.025648 52.29749)",2024-11-13 12:30:00.000000,36
19336222,"LINESTRING(20.893345 52.243576,20.89304 52.24348,20.892567 52.24328,20.892378 52.243195,20.892258 52.243134)",2024-11-13 12:30:00.000000,34
20525886,"LINESTRING(20.964928 52.274445,20.964724 52.274597,20.9645 52.274776,20.964296 52.274952)",2024-11-13 12:30:00.000000,18
25588377,"LINESTRING(21.031017 52.300743,21.030834 52.300697,21.030739 52.300674,21.029856 52.30045)",2024-11-13 12:45:00.000000,13
21087643,"LINESTRING(20.997229 52.270973,20.997124 52.271156,20.997038 52.271313)",2024-11-13 12:45:00.000000,41
21034246,"LINESTRING(20.958035 52.266106,20.95848 52.266495,20.95886 52.266834)",2024-11-13 12:45:00.000000,18
13672752,"LINESTRING(20.964523 52.274548,20.964819 52.27434,20.965246 52.274055,20.965445 52.27394)",2024-11-13 12:30:00.000000,39
17994846,"LINESTRING(20.94509 52.265625,20.944942 52.265488)",2024-11-13 12:30:00.000000,14
